Gender,M,R,F,FirstPurch,BusinessExecutive,Surfer,Yuppie,Hipster,Artist,ClassicGentleman,Rugged,Formal,Casual,Comic,Success
1,260,16,2,18,0,0,1,0,1,0,0,0,0,0,0
0,259,12,5,30,1,0,1,0,0,1,1,0,0,0,0
1,218,16,6,42,1,1,3,1,0,0,0,0,0,0,0
1,143,14,1,14,0,0,0,1,0,0,0,0,0,0,0
1,419,8,11,52,4,0,1,0,1,1,2,1,1,1,1
1,185,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1,177,10,9,30,0,1,1,1,1,2,0,1,1,1,0
1,124,8,5,24,1,0,0,0,1,0,0,0,0,0,0
0,431,28,12,68,3,0,3,0,2,1,3,1,1,1,0
1,228,28,8,66,3,0,0,1,2,0,2,0,0,0,0
1,263,24,2,28,0,0,1,0,1,0,0,0,1,0,0
0,286,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1,333,12,12,82,2,1,5,0,0,2,1,0,0,0,1
1,269,2,10,56,4,0,1,1,0,0,2,1,0,0,0
0,91,14,1,14,0,0,0,0,0,1,0,0,0,0,0
0,304,16,2,24,0,0,0,1,0,1,0,0,0,0,0
1,247,22,7,58,2,1,2,0,0,0,2,0,0,0,0
0,74,14,2,20,1,0,1,0,0,0,0,0,0,0,0
1,253,14,1,14,0,0,1,0,0,0,0,0,0,0,0
0,249,2,3,8,0,0,0,0,0,0,0,0,0,0,0
0,224,12,2,18,1,0,0,0,0,0,0,0,0,0,1
1,214,4,2,10,0,0,0,0,0,0,0,0,0,0,0
1,48,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1,323,4,2,6,0,0,0,0,0,0,0,0,0,0,0
1,242,6,4,16,1,0,0,0,0,0,0,0,0,0,0
1,192,14,5,24,1,1,1,0,1,0,1,1,1,0,0
1,186,34,1,34,0,0,0,0,1,0,0,0,0,0,0
0,390,30,9,76,2,0,2,2,2,0,1,0,0,0,0
1,187,10,9,34,4,0,0,0,0,2,1,0,0,1,0
0,242,10,2,14,0,0,0,0,1,0,0,0,0,0,0
1,277,2,5,24,1,0,0,0,0,0,0,0,0,0,0
1,477,12,12,58,2,0,4,3,0,1,1,1,0,0,0
1,225,8,1,8,0,0,0,0,0,0,0,0,0,0,0
